alert-monitor  | [alert-monitor] SoC=14.0%  batteryAlert=True
alert-monitor  | [alert-monitor] SoC=16.0%  batteryAlert=True
alert-monitor  | [alert-monitor] SoC=17.0%  batteryAlert=True
alert-monitor  | [alert-monitor] SoC=18.0%  batteryAlert=True
alert-monitor  | [alert-monitor] 2026-07-14T01:59:55.029669 SoC=19.0%  batteryAlert transitioned -> False
alert-monitor  | [alert-monitor] SoC=20.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=21.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=22.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=23.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=24.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
